Type:          raw
Points:        1350
Count:         1
XInc:          1.4814815E-011
XOrg:          4.5980000000E-008
YData range:   8.07981E+001
YData center:  1.39000E+001
Coupling:      50 Ohms
XRange:        2.00000E-008
XOffset:       4.5980000000E-008
YRange:        8.00000E+001
YOffset:       1.39000E+001
Date:          14 JUN 2023
Time:          11:33:47:68
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
5.4350370E-008, 1.007E+000
5.4365185E-008, 8.67E-001
5.4380000E-008, 1.007E+000
5.4394815E-008, 9.38E-001
5.4409630E-008, 7.98E-001
5.4424444E-008, 7.98E-001
5.4439259E-008, 6.58E-001
5.4454074E-008, 7.27E-001
5.4468889E-008, 8.67E-001
5.4483704E-008, 6.58E-001
5.4498519E-008, 7.27E-001
5.4513333E-008, 7.27E-001
5.4528148E-008, 7.27E-001
5.4542963E-008, 6.58E-001
5.4557778E-008, 5.18E-001
5.4572593E-008, 5.18E-001
5.4587407E-008, 5.86E-001
5.4602222E-008, 5.86E-001
5.4617037E-008, 5.86E-001
5.4631852E-008, 3.78E-001
5.4646667E-008, 3.78E-001
5.4661481E-008, 5.18E-001
5.4676296E-008, 3.78E-001
5.4691111E-008, 3.09E-001
5.4705926E-008, 5.18E-001
5.4720741E-008, 3.78E-001
5.4735556E-008, 3.09E-001
5.4750370E-008, 5.86E-001
5.4765185E-008, 3.78E-001
5.4780000E-008, 5.18E-001
5.4794815E-008, 2.38E-001
5.4809630E-008, 3.78E-001
5.4824444E-008, 5.18E-001
5.4839259E-008, 3.78E-001
5.4854074E-008, 4.49E-001
5.4868889E-008, 3.78E-001
5.4883704E-008, 1.69E-001
5.4898519E-008, 3.09E-001
5.4913333E-008, 3.78E-001
5.4928148E-008, 4.49E-001
5.4942963E-008, 4.49E-001
5.4957778E-008, 4.49E-001
5.4972593E-008, 5.18E-001
5.4987407E-008, 5.18E-001
5.5002222E-008, 3.09E-001
5.5017037E-008, 3.78E-001
5.5031852E-008, 5.86E-001
5.5046667E-008, 6.58E-001
5.5061481E-008, 5.18E-001
5.5076296E-008, 5.18E-001
5.5091111E-008, 5.18E-001
5.5105926E-008, 4.49E-001
5.5120741E-008, 5.86E-001
5.5135556E-008, 6.58E-001
5.5150370E-008, 5.86E-001
5.5165185E-008, 5.86E-001
5.5180000E-008, 5.18E-001
5.5194815E-008, 5.86E-001
5.5209630E-008, 6.58E-001
5.5224444E-008, 5.86E-001
5.5239259E-008, 4.49E-001
5.5254074E-008, 5.18E-001
5.5268889E-008, 5.86E-001
5.5283704E-008, 7.27E-001
5.5298519E-008, 6.58E-001
5.5313333E-008, 6.58E-001
5.5328148E-008, 7.27E-001
5.5342963E-008, 8.67E-001
5.5357778E-008, 8.67E-001
5.5372593E-008, 7.98E-001
5.5387407E-008, 8.67E-001
5.5402222E-008, 7.98E-001
5.5417037E-008, 7.98E-001
5.5431852E-008, 7.98E-001
5.5446667E-008, 8.67E-001
5.5461481E-008, 8.67E-001
5.5476296E-008, 8.67E-001
5.5491111E-008, 9.38E-001
5.5505926E-008, 9.38E-001
5.5520741E-008, 8.67E-001
5.5535556E-008, 9.38E-001
5.5550370E-008, 9.38E-001
5.5565185E-008, 7.98E-001
5.5580000E-008, 7.98E-001
5.5594815E-008, 9.38E-001
5.5609630E-008, 8.67E-001
5.5624444E-008, 7.98E-001
5.5639259E-008, 9.38E-001
5.5654074E-008, 1.007E+000
5.5668889E-008, 1.078E+000
5.5683704E-008, 8.67E-001
5.5698519E-008, 1.147E+000
5.5713333E-008, 1.007E+000
5.5728148E-008, 7.27E-001
5.5742963E-008, 1.147E+000
5.5757778E-008, 9.38E-001
5.5772593E-008, 1.007E+000
5.5787407E-008, 1.147E+000
5.5802222E-008, 7.27E-001
5.5817037E-008, 1.147E+000
5.5831852E-008, 7.98E-001
5.5846667E-008, 9.38E-001
5.5861481E-008, 1.078E+000
5.5876296E-008, 1.078E+000
5.5891111E-008, 1.078E+000
5.5905926E-008, 1.007E+000
5.5920741E-008, 9.38E-001
5.5935556E-008, 9.38E-001
5.5950370E-008, 1.147E+000
5.5965185E-008, 8.67E-001
5.5980000E-008, 1.218E+000
5.5994815E-008, 1.078E+000
5.6009630E-008, 1.078E+000
5.6024444E-008, 1.078E+000
5.6039259E-008, 1.078E+000
5.6054074E-008, 1.007E+000
5.6068889E-008, 1.078E+000
5.6083704E-008, 1.007E+000
5.6098519E-008, 1.078E+000
5.6113333E-008, 1.007E+000
5.6128148E-008, 1.007E+000
5.6142963E-008, 9.38E-001
5.6157778E-008, 1.078E+000
5.6172593E-008, 1.078E+000
5.6187407E-008, 8.67E-001
5.6202222E-008, 1.007E+000
5.6217037E-008, 1.078E+000
5.6231852E-008, 1.078E+000
5.6246667E-008, 1.007E+000
5.6261481E-008, 1.007E+000
5.6276296E-008, 8.67E-001
5.6291111E-008, 1.007E+000
5.6305926E-008, 8.67E-001
5.6320741E-008, 7.98E-001
5.6335556E-008, 8.67E-001
5.6350370E-008, 7.98E-001
5.6365185E-008, 8.67E-001
5.6380000E-008, 7.98E-001
5.6394815E-008, 7.27E-001
5.6409630E-008, 9.38E-001
5.6424444E-008, 8.67E-001
5.6439259E-008, 8.67E-001
5.6454074E-008, 7.98E-001
5.6468889E-008, 7.98E-001
5.6483704E-008, 6.58E-001
5.6498519E-008, 8.67E-001
5.6513333E-008, 5.86E-001
5.6528148E-008, 7.98E-001
5.6542963E-008, 5.86E-001
5.6557778E-008, 7.27E-001
5.6572593E-008, 5.86E-001
5.6587407E-008, 5.86E-001
5.6602222E-008, 6.58E-001
5.6617037E-008, 5.86E-001
5.6631852E-008, 5.86E-001
5.6646667E-008, 9.38E-001
5.6661481E-008, 6.58E-001
