Type:          average
Points:        1350
Count:         16
XInc:          3.7037037E-011
XOrg:          2.4050000000E-008
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        5.00000E-008
XOffset:       2.4050000000E-008
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:37:56:15
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
4.7901852E-008, 8.475E-001
4.7938889E-008, 8.374E-001
4.7975926E-008, 8.450E-001
4.8012963E-008, 8.855E-001
4.8050000E-008, 8.678E-001
4.8087037E-008, 8.906E-001
4.8124074E-008, 8.703E-001
4.8161111E-008, 9.109E-001
4.8198148E-008, 8.931E-001
4.8235185E-008, 9.109E-001
4.8272222E-008, 8.779E-001
4.8309259E-008, 8.703E-001
4.8346296E-008, 9.109E-001
4.8383333E-008, 9.413E-001
4.8420370E-008, 9.109E-001
4.8457407E-008, 8.855E-001
4.8494444E-008, 8.450E-001
4.8531481E-008, 8.805E-001
4.8568519E-008, 8.399E-001
4.8605556E-008, 8.779E-001
4.8642593E-008, 8.602E-001
4.8679630E-008, 8.577E-001
4.8716667E-008, 8.349E-001
4.8753704E-008, 8.399E-001
4.8790741E-008, 8.450E-001
4.8827778E-008, 7.943E-001
4.8864815E-008, 8.146E-001
4.8901852E-008, 7.918E-001
4.8938889E-008, 8.121E-001
4.8975926E-008, 8.070E-001
4.9012963E-008, 7.969E-001
4.9050000E-008, 7.512E-001
4.9087037E-008, 7.259E-001
4.9124074E-008, 7.740E-001
4.9161111E-008, 7.107E-001
4.9198148E-008, 7.842E-001
4.9235185E-008, 7.538E-001
4.9272222E-008, 7.335E-001
4.9309259E-008, 7.360E-001
4.9346296E-008, 7.411E-001
4.9383333E-008, 7.411E-001
4.9420370E-008, 7.740E-001
4.9457407E-008, 7.107E-001
4.9494444E-008, 7.107E-001
4.9531481E-008, 7.234E-001
4.9568519E-008, 7.360E-001
4.9605556E-008, 7.791E-001
4.9642593E-008, 7.867E-001
4.9679630E-008, 7.690E-001
4.9716667E-008, 7.842E-001
4.9753704E-008, 7.715E-001
4.9790741E-008, 8.374E-001
4.9827778E-008, 8.222E-001
4.9864815E-008, 8.627E-001
4.9901852E-008, 8.450E-001
4.9938889E-008, 8.653E-001
4.9975926E-008, 9.388E-001
5.0012963E-008, 9.793E-001
5.0050000E-008, 9.438E-001
5.0087037E-008, 1.0249E+000
5.0124074E-008, 1.0249E+000
5.0161111E-008, 1.0350E+000
5.0198148E-008, 1.0857E+000
5.0235185E-008, 1.0807E+000
5.0272222E-008, 1.1085E+000
5.0309259E-008, 1.1060E+000
5.0346296E-008, 1.1846E+000
5.0383333E-008, 1.2403E+000
5.0420370E-008, 1.2580E+000
5.0457407E-008, 1.3189E+000
5.0494444E-008, 1.3189E+000
5.0531481E-008, 1.3771E+000
5.0568519E-008, 1.3518E+000
5.0605556E-008, 1.3746E+000
5.0642593E-008, 1.4354E+000
5.0679630E-008, 1.4709E+000
5.0716667E-008, 1.4912E+000
5.0753704E-008, 1.5064E+000
5.0790741E-008, 1.5140E+000
5.0827778E-008, 1.5748E+000
5.0864815E-008, 1.5875E+000
5.0901852E-008, 1.6204E+000
5.0938889E-008, 1.6280E+000
5.0975926E-008, 1.6533E+000
5.1012963E-008, 1.6432E+000
5.1050000E-008, 1.7268E+000
5.1087037E-008, 1.7344E+000
5.1124074E-008, 1.7699E+000
5.1161111E-008, 1.7800E+000
5.1198148E-008, 1.7496E+000
